Title_name,Title_list1_Image,Title_list1_cal,Title_list1_carbs,Title_list1_Fats,Title_list1_Prot,Title_list1_Sugar
"Pork loin, center rib (chops)
Fresh, bone-in, separable lean only, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,177,0 g,7.9 g,24.7 g,0 g
"Pork breakfast strips
Cured, raw or unheated",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,264,0.5 g,25.3 g,8.0 g,0 g
"Cured ham, patties
Pork, unheated",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,205,1.1 g,18.3 g,8.3 g,0 g
"Pork top loin (chops)
Fresh, loin, boneless, enhanced, separable lean and fat, cooked, pan-broiled",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,285,0 g,11.5 g,42.5 g,0 g
"White corn
Sweet, canned, whole kernel, drained solids",https://images.eatthismuch.com/images/food_icons_v3/corn.png,116,24.7 g,2.2 g,3.8 g,3.8 g
"V8 vegetable juice
Campbell soup company, spicy hot v8",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,51,10.0 g,0 g,2.0 g,1.9 g
"V8 vegetable juice
Campbell soup company, low sodium v8",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,51,10.0 g,0 g,2.0 g,1.9 g
"Potato puffs
Frozen, unprepared",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,237,31.7 g,11.1 g,2.5 g,2.9 g
"Hashed browns
Potatoes, frozen, with butter sauce, unprepared",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,230,31.1 g,11.3 g,3.2 g,4.9 g
"Squash
Winter, hubbard, cooked, boiled, mashed, without salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,71,15.2 g,0.9 g,3.5 g,6.8 g
"Strawberry shake
Fast food",https://images.eatthismuch.com/images/food_icons_v3/drink.png,319,53.3 g,7.9 g,9.6 g,1.1 g
"100 proof hard alcohol
Alcoholic beverage, distilled",https://images.eatthismuch.com/images/food_icons_v3/drink.png,124,0 g,0 g,0 g,0 g
"V8 v. fusion juices
Campbell soup company, strawberry banana",https://images.eatthismuch.com/images/food_icons_v3/drink.png,121,29.0 g,0 g,1.0 g,0 g
"V8 v. fusion juices
Campbell soup company, tropical",https://images.eatthismuch.com/images/food_icons_v3/drink.png,121,28.0 g,0 g,1.0 g,0 g
"Plain pancakes
Frozen, ready-to-heat, microwave (includes buttermilk)",https://images.eatthismuch.com/images/food_icons_v3/bread.png,344,62.4 g,6.8 g,8.5 g,3.6 g
"Crusty french loaf
Pillsbury, refrigerated dough",https://images.eatthismuch.com/thmb/4373_simmyras_cd1529bb-947f-4dfc-92b0-e2f8fb713783.png,151,28.7 g,1.8 g,5.3 g,1.6 g
"Syrups, table blends
Cane and 15% maple",https://images.eatthismuch.com/images/food_icons_v3/honey.png,56,13.9 g,0.0 g,0 g,0.0 g
"Fudgesicle bars
Frozen novelties, fat free",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,65,13.7 g,0.3 g,2.8 g,0.9 g
"Beef short loin
Top loin, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,303,0 g,12.6 g,44.3 g,0 g
"Beef top sirloin
Separable lean only, trimmed to 0"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,156,0 g,4.9 g,26.0 g,0 g
"Beef round
Bottom round roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,144,0 g,4.5 g,24.0 g,0 g
"Beef round
Top round, separable lean and fat, trimmed to 0"" fat, select, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,170,0 g,4.5 g,30.3 g,0 g
"Tortilla chips
Snacks, low fat, made with olestra, nacho cheese",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,90,18.5 g,1.0 g,2.4 g,1.8 g
"Ground pork
84% lean / 16% fat, cooked, crumbles",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,289,0.6 g,20.0 g,26.7 g,0 g
"Mother's, Old Fashioned Iced Oatmeal Cookies",https://images.eatthismuch.com/thmb/485430_simmyras_f9c058c7-f787-489b-9b93-725030032396.png,143,22.6 g,5.2 g,1.9 g,0.8 g
"Vegetable oil spread
Margarine-like, fat free, liquid, with salt",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,6,0.4 g,0.4 g,0.2 g,0 g
"Jams, preserves, marmalade, reduced sugar",https://images.eatthismuch.com/missing_thumbnail1.png,151,37.6 g,0.1 g,0 g,1.5 g
"Crustaceans, shrimp, raw (not previously frozen)",https://images.eatthismuch.com/thmb/478149_Venomfit681_5658bfbd-6445-473e-ac7b-8963ba8c4751.jpg,72,0 g,0.4 g,17.1 g,0 g
"Dip, salsa con queso, cheese and salsa- medium",https://images.eatthismuch.com/missing_thumbnail1.png,43,3.3 g,2.9 g,0.9 g,0.2 g
"Fruit juice smoothie, Naked Juice, Mighty Mango",https://images.eatthismuch.com/missing_thumbnail1.png,151,36 g,0 g,1.0 g,0 g
"Turkey stuffing
Mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",https://images.eatthismuch.com/images/food_icons_v3/bento.png,493,62.8 g,15.0 g,26.8 g,5.0 g
"Pretzels
Snacks, hard, confectioner's coating, chocolate-flavor",https://images.eatthismuch.com/images/food_icons_v3/pretzel.png,130,20.1 g,4.7 g,2.1 g,0.7 g
"Rice cakes
Snacks, brown rice, multigrain, unsalted",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,70,14.4 g,0.6 g,1.5 g,0 g
"Soft pretzels
Unsalted",https://images.eatthismuch.com/images/food_icons_v3/pretzel.png,214,44.0 g,1.9 g,5.1 g,1.1 g
"Turkey noodle soup
Canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,166,21.0 g,4.9 g,9.5 g,1.8 g
Rich chocolate ice cream,https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,371,29.3 g,25.1 g,7.0 g,1.3 g
"Veal cubes
For stew (leg and shoulder), separable lean only, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,160,0 g,3.7 g,29.7 g,0 g
"Turkey, thigh, from whole bird, meat only, raw",https://images.eatthismuch.com/missing_thumbnail1.png,92,0.1 g,2.1 g,18.1 g,0 g
"Pork, fresh, loin, center loin (chops), boneless, separable lean and fat, raw",https://images.eatthismuch.com/thmb/469099_nukemman_f92f180e-5151-42d9-82e6-c0ccac8f9332.jpg,171,0 g,11.0 g,18.0 g,0 g
"Chicken patty
Frozen, uncooked",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,83,3.9 g,5.7 g,4.1 g,0.3 g
"Bison top round
Game meat, separable lean only, 1"" steak, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,597,0 g,11.9 g,114.0 g,0 g
"Beef, rib
Eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, choice, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,78,0 g,6.3 g,5.0 g,0 g
"Peanut butter m&m's
Candies, mars snackfood us",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,243,26.2 g,13.5 g,4.7 g,1.8 g
"Baked potatoes
Skin, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,115,26.7 g,0.1 g,2.5 g,4.6 g
"Eastern oyster
Mollusks, canned",https://images.eatthismuch.com/images/food_icons_v3/fish.png,169,9.7 g,6.1 g,17.5 g,0 g
"Cheese sauce
Dry, powder",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,157,11.8 g,8.9 g,7.9 g,0.4 g
"Cheese sauce mix
Dry",https://images.eatthismuch.com/thmb/833_simmyras_2311439b-3ee4-4b19-807d-41220e123042.png,124,17.2 g,5.2 g,2.2 g,0.3 g
"Kellogg's pop tarts
Toaster pastries, kellogg, frosted wild berry",https://images.eatthismuch.com/images/food_icons_v3/bread.png,211,39.1 g,5.1 g,2.2 g,0.7 g
"Austin, Grilled Cheese on Wafer Crackers, sandwich-type",https://images.eatthismuch.com/missing_thumbnail1.png,192,24.2 g,9.3 g,3.1 g,0.5 g
"Dry milk
Nonfat, regular, without added vitamin a and vitamin d",https://images.eatthismuch.com/thmb/79_Jeremiahst_f9ef738f-dc64-4557-94bf-451e0ce573e1.jpg,109,15.6 g,0.2 g,10.8 g,0 g
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",https://images.eatthismuch.com/missing_thumbnail1.png,283,28.1 g,12.7 g,14.0 g,3.2 g
"Doughnuts
Yeast-leavened, glazed, unenriched (includes honey buns)",https://images.eatthismuch.com/thmb/4320_alicehorton_6dd04dec-8878-4655-a268-9aff9b07d59a.jpeg,242,26.6 g,13.7 g,3.8 g,0.7 g
"Duck breast
Young duckling, domesticated, white pekin, meat and skin, boneless, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,57,0 g,3.1 g,6.9 g,0 g
"Girl Scouts, Samoas Cookies",https://images.eatthismuch.com/thmb/480388_jnorvig_5cec8e3c-6221-470c-9ffe-52aa8978d1e8.jpg,142,18.6 g,7.5 g,1.0 g,1.3 g
"Pork shoulder, arm picnic
Fresh, separable lean and fat, raw",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,55,0 g,3.5 g,5.3 g,0 g
"Corn muffins
Commercially prepared",https://images.eatthismuch.com/images/food_icons_v3/bread.png,345,57.6 g,9.5 g,6.7 g,3.8 g
"Sunchips
Snacks, fritolay, multigrain, french onion flavor",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,141,18.6 g,6.3 g,2.5 g,2.2 g
"Chocolate ice cream
Light",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,187,25.7 g,7.2 g,5 g,0.8 g
"Shortbread cookies
Commercially prepared, plain",https://images.eatthismuch.com/images/food_icons_v3/bread.png,146,18.1 g,7.4 g,1.5 g,0.4 g
"Croaker
Fish, atlantic, cooked, breaded and fried",https://images.eatthismuch.com/images/food_icons_v3/fish.png,192,6.6 g,11.0 g,15.8 g,0.3 g
"Wheat chex
Cereals ready-to-eat, general mills",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,217,51.8 g,1.1 g,6.2 g,7.7 g
"Gingerbread cake
Prepared from recipe",https://images.eatthismuch.com/images/food_icons_v3/bread.png,263,36.4 g,12.1 g,2.9 g,0 g
"Duck, meat and skin
Wild, raw",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,504,0 g,36.3 g,41.6 g,0 g
"Tuna
Fish, fresh, bluefin, cooked, dry heat",https://images.eatthismuch.com/images/food_icons_v3/fish.png,156,0 g,5.3 g,25.4 g,0 g
"Filet-o-fish
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,400,37.5 g,20.8 g,16.0 g,2.0 g
"14"" pizza
Fast food, generic pizza chain, pepperoni topping, regular crust",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,305,34.5 g,12.9 g,12.7 g,2.5 g
"14"" pizza
Fast food, generic pizza chain, cheese topping, regular crust",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,274,34.3 g,10.0 g,11.7 g,2.4 g
"Cornish game hens, meat and skin
Chicken, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,334,0 g,23.5 g,28.7 g,0 g
"Little caesars 14"" original round meat and vegetable pizza
Regular crust",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,279,26.6 g,13.1 g,13.9 g,2.4 g
"Chicken neck
Broilers or fryers, meat only, cooked, fried",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,50,0.4 g,2.6 g,5.9 g,0 g
"Chicken neck
Broilers or fryers, meat and skin, cooked, fried, flour",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,120,1.5 g,8.5 g,8.6 g,0 g
"14"" pizza
Fast food, generic pizza chain, pepperoni topping, thick crust",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,304,33.8 g,13.3 g,12.2 g,2.3 g
"Turnips
Frozen, cooked, boiled, drained, without salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,36,6.8 g,0.4 g,2.4 g,3.1 g
"Red wine
Alcoholic beverage, table, barbera",https://images.eatthismuch.com/images/food_icons_v3/drink.png,125,4.1 g,0 g,0.1 g,0 g
"Lemonade
Powder, prepared with water",https://images.eatthismuch.com/images/food_icons_v3/drink.png,37,9.5 g,0.1 g,0 g,0 g
"Red wine
Alcoholic beverage, table, sangiovese",https://images.eatthismuch.com/images/food_icons_v3/drink.png,126,3.9 g,0 g,0.1 g,0 g
"Chicken broth soup
Canned, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,78,1.9 g,2.6 g,11.1 g,0 g
"Gravy, onion
Dry, mix",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,77,16.2 g,0.7 g,2.2 g,1.4 g
"Campbell's red and white campbell soup company
Chicken broth, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,40,2.0 g,2.0 g,2.0 g,0 g
"Squash
Summer, all varieties, cooked, boiled, drained, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,36,7.8 g,0.6 g,1.6 g,2.5 g
"Peas
Edible-podded, cooked, boiled, drained, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,64,10.3 g,0.4 g,5.2 g,4.5 g
"Squash
Winter, butternut, frozen, cooked, boiled, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,94,24.1 g,0.2 g,3.0 g,0 g
"White corn
Sweet, frozen, kernels on cob, cooked, boiled, drained, with salt",https://images.eatthismuch.com/images/food_icons_v3/corn.png,77,18.3 g,0.6 g,2.6 g,2.3 g
"Pizza Chain, 14"" pizza, sausage topping, thin crust
Fast Food",https://images.eatthismuch.com/missing_thumbnail1.png,282,23.8 g,15.6 g,11.8 g,2.2 g
"Tostada
Fast foods, with beans, beef, and cheese",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,333,29.7 g,16.9 g,16.1 g,0 g
"Tostada
Fast foods, with beef and cheese",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,315,22.8 g,16.3 g,19.0 g,0 g
"Griddle cake sandwich
Fast foods, sausage",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,429,42.2 g,24.0 g,11.4 g,1.4 g
Mcdonald's honey,https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,49,12.1 g,0 g,0.0 g,0 g
"Mcdonaldland cookies
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,255,41.5 g,8.7 g,3.7 g,0.9 g
"Vanilla reduced fat ice cream cone
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,146,23.7 g,4.4 g,3.8 g,0.1 g
"Apple dippers
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,33,8.2 g,0 g,0 g,0 g
"Double quarter pounder with cheese
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,734,40.4 g,45.4 g,47.5 g,2.8 g
"Newman's own cobb dressing
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,122,9.6 g,9.0 g,1.0 g,0.2 g
"Big 'n tasty (without mayonnaise)
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,419,38.0 g,19.9 g,24.5 g,3.3 g
"Bacon ranch salad without chicken
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,136,9.4 g,8.1 g,9.2 g,3.3 g
"Fruit 'n yogurt parfait
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,156,30.9 g,1.9 g,4.1 g,1.5 g
"Croissan'wich with egg and cheese
Burger king",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,311,27.3 g,17.4 g,11.4 g,0.8 g
"French toast sticks
Burger king",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,373,44.1 g,19.0 g,6.4 g,1.5 g
"Chef-mate chili with beans
Nestle, canned entree",https://images.eatthismuch.com/images/food_icons_v3/bento.png,420,34.2 g,24.0 g,17.7 g,7.6 g
"Beefaroni
Chef boyardee, macaroni w/beef in tomato sauce, canned entree",https://images.eatthismuch.com/images/food_icons_v3/bento.png,236,34.9 g,6.9 g,8.5 g,1.3 g
"Stouffer's chicken pie
Frozen entree",https://images.eatthismuch.com/images/food_icons_v3/bento.png,733,63.9 g,43.9 g,20.3 g,4.0 g
"Red baron premium pockets
Original ham & cheese, frozen",https://images.eatthismuch.com/images/food_icons_v3/bento.png,356,36.2 g,16.9 g,14.9 g,0 g
"Beef stroganoff and noodles w/carrots and peas
Marie callender's, frozen",https://images.eatthismuch.com/images/food_icons_v3/bento.png,421,39.7 g,18.0 g,24.7 g,7.4 g
"Spaghettios
Campbell soup company, spaghettios original",https://images.eatthismuch.com/images/food_icons_v3/bento.png,169,35.0 g,1.0 g,6.0 g,3.0 g
"Supper bakes meal kits
Campbell soup company, traditional roast chicken with stuffing (chicken not included)",https://images.eatthismuch.com/images/food_icons_v3/bento.png,160,28.9 g,3.0 g,5.0 g,2.0 g
"Beef round
Knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,278,0 g,6.8 g,50.9 g,0 g
"Beef round
Knuckle, tip center, steak, separable lean and fat, trimmed to 0"" fat, choice, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,43,0 g,1.9 g,5.9 g,0 g
"Beef round
Outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,37,0 g,1.1 g,6.3 g,0 g
"Beef round
Knuckle, tip side, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,282,0 g,8.1 g,48.9 g,0 g
"Beef chuck
Shoulder clod, top blade, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,189,0 g,10.9 g,21.2 g,0 g
"Beef round
Outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,155,0 g,6.0 g,23.4 g,0 g
"Beef chuck
Mock tender steak, separable lean and fat, trimmed to 0"" fat, usda select, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,135,0 g,4.5 g,22.2 g,0 g
"Beef chuck
Clod steak, separable lean and fat, trimmed to 0"" fat, usda choice, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,158,0 g,6.2 g,24.0 g,0 g
"Beef chuck
Top blade, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,184,0 g,10.0 g,21.9 g,0 g
"Beef top sirloin
Separable lean only, trimmed to 1/8"" fat, select, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,48,0 g,1.4 g,8.3 g,0 g
"Beef round
Eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,48,0 g,1.3 g,8.4 g,0 g
